rencontre,"Same as Rencounter, n."
anomura,"A group of decapod Crustacea, of which the hermit crab in an example."
teneriffe,"A white wine resembling Madeira in taste, but more tart, produced in Teneriffe, one of the Canary Islands; -- called also Vidonia."
wrongless,"Not wrong; void or free from wrong. [Obs.] -- Wrong""less*ly, adv. [Obs.] Sir P. Sidney."
egriot,A kind of sour cherry. Bacon.
spectatrix,"A female beholder or looker-on. ""A spectatress of the whole scene."" Jeffrey."
expurgatorial,Tending or serving to expurgate; expurgatory. Milman.
butcher,"1. One who slaughters animals, or dresses their flesh for market; one whose occupation it is to kill animals for food. "
apogeal,Apogean.
quinic,"Pertaining to, derived from, or connected with, quinine and related compounds; specifically, designating a nonnitrogenous acid obtained from cinchona bark, coffee, beans, etc., as a white crystalline substance. [Written also chinic, kinic.]"
automatical,"1. Having an inherent power of action or motion. Nothing can be said to be automatic. Sir H. Davy. 2. Pertaining to, or produced by, an automaton; of the nature of an automaton; self-acting or self-regulating under fixed conditions; -- esp. applied to machinery or devices in which certain things formerly or usually done by hand are done by the machine or device itself; as, the automatic feed of a lathe; automatic gas lighting; an automatic engine or switch; an automatic mouse. 3. Not voluntary; not depending on the will; mechanical; as, automatic movements or functions. Unconscious or automatic reasoning. H. Spenser. Automatic arts, such economic arts or manufacture as are carried on by self-acting machinery. Ure."
neritina,"A genus including numerous species of shells resembling Nerita in form. They mostly inhabit brackish water, and are often delicately tinted."
flabellation,The act of keeping fractured limbs cool by the use of a fan or some other contrivance. Dunglison.
windgall,A soft tumor or synovial swelling on the fetlock joint of a horse; -- so called from having formerly been supposed to contain air.
membranaceous,"1. Same as Membranous. Arbuthnot. 2. (Bot.)  Thin and rather soft or pliable, as the leaves of the rose, peach tree, and aspen poplar."
tithingman,"1. (O. Eng. Law)  The chief man of a tithing; a headborough; one elected to preside over the tithing. 2. (Law)  A peace officer; an under constable. 3. A parish officer elected annually to preserve good order in the church during divine service, to make complaint of any disorderly conduct, and to enforce the observance of the Sabbath. [Local, U.S.]"
prosenchyma,"A general term applied to the tissues formed of elongated cells, especially those with pointed or oblique extremities, as the principal cells of ordinary wood."
pneumatometer,An instrument for measuring the amount of force exerted by the lungs in respiration.
expeller,"One who. or that which, expels."
platy,Like a plate; consisting of plates.
sea purse,"The horny egg case of a skate, and of certain sharks."
tchawytcha,"The quinnat salmon. [Local, U.S.]"
shuffler,"1. One who shuffles. 2. (Zoöl.)  Either one of the three common American scaup ducks. See Scaup duck, under Scaup."
quinaldine,"A colorless liquid of a slightly pungent odor, C9H6N.CH3, first obtained as a condensation product of aldehyde and aniline, and regarded as a derivative of quinoline; -- called also methyl quinoline. [Written also chinaldine.]"
interdependency,"Mutual dependence; as, interdependency of interests. De Quincey."
bursarship,The office of a bursar.
palewise,"In the manner of a pale or pales; by perpendicular lines or divisions; as, to divide an escutcheon palewise."
sond,"That which is sent; a message or messenger; hence, also, a visitation of providence; an affliction or trial. [Obs.] Ye have enough, parde, of Goddes sond. Chaucer."
unacceptability,The quality of being unacceptable; unacceptableness.
underpay,To pay inadequately.
ophelic,"Of, pertaining to, or designating, a substance (called ophelic acid) extracted from a plant (Ophelia) of the Gentian family as a bitter yellowish sirup, used in India as a febrifuge and tonic."
aft,Near or towards the stern of a vessel; astern; abaft.
tetragonal,"1. (Geom.)  Of or pertaining to a tetragon; having four angles or sides; thus, the square, the parallelogram, the rhombus, and the trapezium are tetragonal fingers. 2. (Bot.)  Having four prominent longitudinal angles. 3. (Crystallog.)  Designating, or belonging to, a certain system of crystallization; dimetric. See Tetragonal system, under Crystallization."
baccara,"A French game of cards, played by a banker and punters."
anencephalic,Without a brain; brainless. Todd & B.
attle,Rubbish or refuse consisting of broken rock containing little or no ore. Weale.
unprejudiced,"1. Not prejudiced; free from undue bias or prepossession; not preoccupied by opinion; impartial; as, an unprejudiced mind; an unprejudiced judge. 2. Not warped or biased by prejudice; as, an unprejudiced judgment. -- Un*prej""u*diced*ness, n. V. Knox."
gyrostatics,"The doctrine or theory of the gyrostat, or of the phenomena of rotating bodies."
defoliation,The separation of ripened leaves from a branch or stem; the falling or shedding of the leaves.
fragile,"Easily broken; brittle; frail; delicate; easily destroyed. The state of ivy is tough, and not fragile. Bacon. Syn. -- Brittle; infirm; weak; frail; frangible; slight. -- Frag""ile*ly, adv."
marcobrunner,A celebrated Rhine wine.
insufficiently,In an insufficient manner or degree; unadequately.
pelerine,"A woman's cape; especially, a fur cape that is longer in front than behind. PELE'S HAIR Pe""le's hair. [After a Hawaiian goddess associated with the crater Kilauea.]  Glass threads or fibers formed by the wind from bits blown from frothy lava or from the tips of lava jets or from bits of liquid lava thrown into the air. It often collects in thick masses resembling tow."
bepurple,To tinge or dye with a purple color.
biograph,1.  An animated picture machine for screen projection; a cinematograph. 2.  [Cf. Biography.] A biographical sketch. [Rare]
suprascalpulary,"Situated above, or on the anterior side of, the scapula."
pectorally,As connected with the breast.
larghetto,"Somewhat slow or slowly, but not so slowly as largo, and rather more so than andante."
choric,Of or pertaining to a chorus. I remember a choric ode in the Hecuba. Coleridge.
sheathless,Without a sheath or case for covering; unsheathed.
kind-heartedness,The state or quality of being kind-hearted; benevolence.
reluctivity,Specific reluctance.
obviation,"The act of obviating, or the state of being obviated."
inapt,"Unapt; not apt; unsuitable; inept. -- In*apt""ly, adv. -- In*apt""ness, n."
endomorph,"A crystal of one species inclosed within one of another, as one of rutile inclosed in quartz."
inexertion,Want of exertion; want of effort; defect of action; indolence; laziness.
lowish,Somewhat low. [Colloq.] Richardson.
unconsequential,Inconsequential. Johnson.
taglock,"An entangled lock, as of hair or wool. Nares."
bauble,"1. A trifling piece of finery; a gewgaw; that which is gay and showy without real value; a cheap, showy plaything. The ineffective bauble of an Indian pagod. Sheridan. 2. The fool's club. [Obs.] ""A fool's bauble was a short stick with a head ornamented with an ass's ears fantastically carved upon it."" Nares."
postcommunion,"1. (Ch. of Eng. & Prot. Epis. Ch.)  The concluding portion of the communion service. 2. (R. C. Ch.)  A prayer or prayers which the priest says at Mass, after the ablutions."
antimonite,1. (Chem.)  A compound of antimonious acid and a base or basic radical. 2. (Min.)  Stibnite.
diprotodon,"An extinct Quaternary marsupial from Australia, about as large as the hippopotamus; -- so named because of its two large front teeth. See Illustration in Appendix."
volary,See Volery. [Obs.]
insanable,Not capable of being healed; incurable; irremediable.
appeaser,One who appeases; a pacifier.
statically,In a statical manner.
forcibleness,The quality of being forcible.
fingle-fangle,A trifle. [Low] Hudibras.
particulate,"To particularize. [Obs.]

1. Having the form of a particle. 2. Referring to, or produced by, particles, such as dust, minute germs, etc. [R.] The smallpox is a particulate disease. Tyndall."
abjudge,To take away by judicial decision. [R.]
buskin,"1. A strong, protecting covering for the foot, coming some distance up the leg. The hunted red deer's undressed hide Their hairy buskins well supplied. Sir W. Scott. 2. A similar covering for the foot and leg, made with very thick soles, to give an appearance of elevation to the stature; -- worn by tragic actors in ancient Greece and Rome. Used as a symbol of tragedy, or the tragic drama, as distinguished from comedy. Great Fletcher never treads in buskins here, No greater Jonson dares in socks appear. Dryden."
drabbler,"A piece of canvas fastened by lacing to the bonnet of a sail, to give it a greater depth, or more drop."
undecane,"A liquid hydrocarbon, C11H24, of the methane series, found in petroleum; -- so called from its containing eleven carbon atoms in the molecule."
averment,"1. The act of averring, or that which is averred; affirmation; positive assertion. Signally has this averment received illustration in the course of recent events. I. Taylor. 2. Verification; establishment by evidence. Bacon. 3. (Law)  A positive statement of facts; an allegation; an offer to justify or prove what is alleged. Note: In any stage of pleadings, when either party advances new matter, he avers it to be true, by using this form of words: ""and this he is ready to verify."" This was formerly called an averment. It modern pleading, it is termed a verification. Blackstone."
coadunate,"United at the base, as contiguous lobes of a leaf."
arithmetical,Of or pertaining to arithmetic; according to the rules or method of arithmetic. Arithmetical complement of a logarithm. See Logarithm. -- Arithmetical mean. See Mean. -- Arithmetical progression. See Progression. -- Arithmetical proportion. See Proportion.
postage,"The price established by law to be paid for the conveyance of a letter or other mailable matter by a public post. Postage stamp, a government stamp required to be put upon articles sent by mail in payment of the postage, esp. an adhesive stamp issued and sold for that purpose."
insafety,Insecurity; danger. [Obs.]
prudential,"1. Proceeding from, or dictated or characterized by, prudence; prudent; discreet; sometimes, selfish or pecuniary as distinguished from higher motives or influences; as, prudential motives. "" A prudential line of conduct."" Sir W. Scott. 2. Exercising prudence; discretionary; advisory; superintending or executive; as, a prudential committee.

That which relates to or demands the exercise of, discretion or prudence; -- usually in the pl. Many stanzas, in poetic measures, contain rules relating to common prudentials as well as to religion. I. Watts."
ubiquitariness,"Quality or state of being ubiquitary, or ubiquitous. [R.] Fuller."
superfineness,The state of being superfine.
needlework,"1. Work executed with a needle; sewed work; sewing; embroidery; also, the business of a seamstress. 2. The combination of timber and plaster making the outside framework of some houses."
mantis,"Any one of numerous species of voracious orthopterous insects of the genus Mantis, and allied genera. They are remarkable for their slender grotesque forms, and for holding their stout anterior legs in a manner suggesting hands folded in prayer. The common American species is M. Carolina. Mantis shrimp. (Zoöl.) See Sguilla."
progenitorship,The state of being a progenitor.
hydroid,"Related to, or resembling, the hydra; of or pertaining to the Hydroidea. -- n.  One of the Hydroideas."
cryptographer,"One who writes in cipher, or secret characters."
crosshatch,To shade by means of crosshatching.
wailful,"Sorrowful; mournful. "" Like wailful widows."" Spenser. ""Wailful sonnets."" Shak."
vexed,"1. Annoyed; harassed; troubled. 2. Much debated or contested; causing discussion; as, a vexed question."
acquaintedness,State of being acquainted; degree of acquaintance. [R.] Boyle.
scabrousness,The quality of being scabrous.
helminthite,"One of the sinuous tracks on the surfaces of many stones, and popularly considered as worm trails."
sol,"1. The sun. 2. (Alchem.)  Gold; -- so called from its brilliancy, color, and value. Chaucer.

(a) A syllable applied in solmization to the note G, or to the fifth tone of any diatonic scale. (b) The tone itself.

1. A sou. 2. A silver and gold coin of Peru. The silver sol is the unit of value, and is worth about 68 cents."
procreate,To generate and produce; to beget; to engender.
aliped,"Wing-footed, as the bat. -- n.  An animal whose toes are connected by a membrane, serving for a wing, as the bat."
bucranium,"A sculptured ornament, representing an ox skull adorned with wreaths, etc."
brusk,Same as Brusque.
beckon,"To make a significant sign to; hence, to summon, as by a motion of the hand. His distant friends, he beckons near. Dryden. It beckons you to go away with it. Shak.

A sign made without words; a beck. ""At the first beckon."" Bolingbroke. BECK'S SCALE Beck's scale.  A hydrometer scale on which the zero point corresponds to sp. gr. 1.00, and the 30º-point to sp. gr. 0.85. From these points the scale is extended both ways, all the degrees being of equal length."
homogamous,"Having all the flowers alike; -- said of such composite plants as Eupatorium, and the thistels."
pod,"1. A bag; a pouch. [Obs. or Prov. Eng.] Tusser. 2. (Bot.)  A capsule of plant, especially a legume; a dry dehiscent fruit. See Illust. of Angiospermous. 3. (Zoöl.)  A considerable number of animals closely clustered together; -- said of seals. Pod auger, or pod bit, an auger or bit the channel of which is straight instead of twisted.

To swell; to fill; also, to produce pods."
subsellium,One of the stalls of the lower range where there are two ranges. See Illust. of Stall.
kholah,The Indian jackal.
isonitroso-,"A combining from (also used adjectively), signifying: Pertaining to, or designating, the characteristic, nitrogenous radical, NOH, called the isonitroso group."
villanel,A ballad. [Obs.] Cotton.
calced,Wearing shoes; calceated; -- in distintion from discalced or barefooted; as the calced Carmelites.
disinteress,"To deprive or rid of interest in, or regard for; to disengage. [Obs.]"
theologize,"To render theological; to apply to divinity; to reduce to a system of theology. School divinity was but Aristotle's philosophy theologized. Glanvill.

To frame a system of theology; to theorize or speculate upon theological subjects."
cornuted,"1. Bearing horns; horned; horn-shaped. 2. Cuckolded. [R.] ""My being cornuted."" LEstrange."
stative,"Of or pertaining to a fixed camp, or military posts or quarters. [Obs. or R.]"
there-anent,Concerning that. [Scot.]
tenebrose,Characterized by darkness or gloom; tenebrous.
omohyoid,"Of or pertaining to the shoulder and the hyoid bone; as, the omohyoid muscle."
impasture,To place in a pasture; to foster. [R.] T. Adams.
perlitic,"Relating to or resembling perlite, or pearlstone; as, the perlitic structure of certain rocks. See Pearlite."
paramylum,"A substance resembling starch, found in the green frothy scum formed on the surface of stagnant water."
underproportioned,Of inadequate or inferior proportions; small; poor. Scanty and underproportioned returns of civility. Collier.
ty-all,Something serving to tie or secure. [Obs.] Latimer.
bombardo,"Originally, a deep-toned instrument of the oboe or bassoon family; thence, a bass reed stop on the organ. The name bombardon is now given to a brass instrument, the lowest of the saxhorns, in tone resembling the ophicleide. Grove."
unmechanize,"1. To undo the mechanism of; to unmake; as, to unmechanize a structure. [Obs.] Sterne."
liverwort,"1. A ranunculaceous plant (Anemone Hepatica) with pretty white or bluish flowers and a three-lobed leaf; -- called also squirrel cups. 2. A flowerless plant (Marchantia polymorpha), having an irregularly lobed, spreading, and forking frond. Note: From this plant many others of the same order (Hepaticæ) have been vaguely called liverworts, esp. those of the tribe Marchantiaceæ. See Illust. of Hepatica."
labellum,"1. (Bot.)  The lower or apparently anterior petal of an orchidaceous flower, often of a very curious shape. 2. (Zoöl.)  A small appendage beneath the upper lip or labrum of certain insects."
melodrame,Melodrama.
disgraduate,To degrade; to reduce in rank. [Obs.] Tyndale.
parasitical,"1. Of the nature of a parasite; fawning for food or favors; sycophantic. ""Parasitic preachers."" Milton. 2. (Bot. & Zoöl.)  Of or pertaining to parasites; living on, or deriving nourishment from, some other living animal or plant. See Parasite, 2 & 3. Parasitic gull, Parasitic jager. (Zoöl.) See Jager. -- Par`a*sit""ic*al*ly, adv. -- Par`a*sit""ic*al*ness, n."
were,"To wear. See 3d Wear. [Obs.] Chaucer.

A weir. See Weir. [Obs.] Chaucer. Sir P. Sidney.

To guard; to protect. [Obs.] Chaucer.

The imperfect indicative plural, and imperfect subjunctive singular and plural, of the verb be. See Be.

1. A man. [Obs.] 2. A fine for slaying a man; the money value set upon a man's life; weregild. [Obs.] Every man was valued at a certain sum, which was called his were. Bosworth."
chevet,The extreme end of the chancel or choir; properly the round or polygonal part.
whitebeam,"The common beam tree of England (Pyrus Aria); -- so called from the white, woolly under surface of the leaves."
tlinkit,"The Indians of a seafaring group of tribes of southern Alaska comprising the Koluschan stock. Previous to deterioration from contact with the whites they were the foremost traders of the northwest. They built substantial houses of cedar adorned with  totem poles, and were expert stone carvers and copper workers. Slavery, the potlatch, and the use of immense labrets were characteristic. Many now work in the salmon industry."
bivouac,"(a) The watch of a whole army by night, when in danger of surprise or attack. (b) An encampment for the night without tents or covering.

(a) To watch at night or be on guard, as a whole army. (b) To encamp for the night without tents or covering."
permeate,"1. To pass through the pores or interstices of; to penetrate and pass through without causing rupture or displacement; -- applied especially to fluids which pass through substances of loose texture; as, water permeates sand. Woodward. 2. To enter and spread through; to pervade. God was conceived to be diffused throughout the whole world, to permeate and pervade all things. Cudworth."
zincograph,"A zinc plate prepared for printing by zincography; also, a print from such a plate."
preceptory,"Preceptive. ""A law preceptory."" Anderson (1573).

A religious house of the Knights Templars, subordinate to the temple or principal house of the order in London. See Commandery, n., 2."
albugineous,"Of the nature of, or resembling, the white of the eye, or of an egg; albuminous; -- a term applied to textures, humors, etc., which are perfectly white."
romant,A romaunt. [Obs.]
eu,"A prefix used frequently in composition, signifying well, good, advantageous; -- the opposite of dys-."
deletive,Adapted to destroy or obliterate. [R.] Evelyn.
replicated,"Folded over or backward; folded back upon itself; as, a replicate leaf or petal; a replicate margin of a shell."
squamozygomatic,"Of or pertaining to both the squamosal and zygomatic bones; -- applied to a bone, or a center of ossification, in some fetal skulls. -- n.  A squamozygomatic bone."
breton,"Of or relating to Brittany, or Bretagne, in France. -- n.  A native or inhabitant of Brittany, or Bretagne, in France; also, the ancient language of Brittany; Armorican."
lid,"1. That which covers the opening of a vessel or box, etc. ; a movable cover; as, the lid of a chest or trunk. 2. The cover of the eye; an eyelid. Shak. Tears, big tears, gushed from the rough soldier's lid. Byron. 3. (Bot.) (a) The cover of the spore cases of mosses. (b) A calyx which separates from the flower, and falls off in a single piece, as in the Australian Eucalypti. (c) The top of an ovary which opens transversely, as in the fruit of the purslane and the tree which yields Brazil nuts."
slimsy,Flimsy; frail. [Colloq. U.S.]
sociableness,The quality of being sociable.
frogged,"Provided or ornamented with frogs; as, a frogged coat. See Frog, n., 4. Ld. Lytton."
fondant,"A kind of soft sweetmeat made by boiling solutions to the point of crystallization, usually molded; as, cherry fondant."
isomeride,An isomer. [R.]
ethiopic,"Of or relating to Ethiopia or the Ethiopians.

The language of ancient Ethiopia; the language of the ancient Abyssinian empire (in Ethiopia), now used only in the Abyssinian church. It is of Semitic origin, and is also called Geez."
entrant edge,#NAME?
gemmulation,See Gemmation.
acidification,"The act or process of acidifying, or changing into an acid."
daddock,The rotten body of a tree. [Prov. Eng.] Wright.
vegetation,"1. The act or process of vegetating, or growing as a plant does; vegetable growth. 2. The sum of vegetable life; vegetables or plants in general; as, luxuriant vegetation. 3. (Med.)  An exuberant morbid outgrowth upon any part, especially upon the valves of the heart. Vegetation of salts (Old Chem.), a crystalline growth of an arborescent form."
rathskeller,"Orig., in Germany, the cellar or basement of the city hall, usually rented for use as a restaurant where beer is sold; hence, a beer saloon of the German type below the street level, where, usually, drinks are served only at tables and simple food may also be had; -- sometimes loosely used, in English, of what are essentially basement restaurants where liquors are served."
maying,"The celebrating of May Day. ""He met her once a-Maying."" Milton."
subpurchaser,A purchaser who buys from a purchaser; one who buys at second hand.
rightfully,According to right or justice.
iceland moss,"A kind of lichen (Cetraria Icelandica) found from the Arctic regions to the North Temperate zone. It furnishes a nutritious jelly and other forms of food, and is used in pulmonary complaints as a demulcent."
renovator,"One who, or that which, renovates. Foster."
gyreful,Abounding in gyres. [Obs.]
topsman,1. The chief drover of those who drive a herd of cattle. P. Cyc. 2. The uppermost sawyer in a saw pit; a topman. Simmonds.
aeriality,The state of being aërial; [R.] De Quincey.
dormer window,"A window pierced in a roof, and so set as to be vertical while the roof slopes away from it. Also, the gablet, or houselike structure, in which it is contained."
expound,"1. To lay open; to expose to view; to examine. [Obs.] He expounded both his pockets. Hudibras. 2. To lay open the meaning of; to explain; to clear of obscurity; to interpret; as, to expound a text of Scripture, a law, a word, a meaning, or a riddle. Expound this matter more fully to me. Bunyan."
marrubium,"A genus of bitter aromatic plants, sometimes used in medicine; hoarhound."
pickpocket,One who steals purses or other articles from pockets. Bentley.
silkness,Silkiness. [Obs.] B. Jonson.
caul,"1. A covering of network for the head, worn by women; also, a net. Spenser. 2. (Anat.)  The fold of membrane loaded with fat, which covers more or less of the intestines in mammals; the great omentum See Omentum. The caul serves for warming of the lower belly. Ray. 3. A part of the amnion, one of the membranes enveloping the fetus, which sometimes is round the head of a child at its birth. It is deemed lucky to be with a caul or membrane over the face. This caul is esteemed an infallible preservative against drowning . . . According to Chysostom, the midwives frequently sold it for magic uses. Grose. I was born with a caul, which was advertised for sale, in the newspapers, at the low price of fifteen guineas. Dickens."
yive,To give. [Obs.] Chaucer.
sparrowwort,An evergreen shrub of the genus Erica (E. passerina).
abomasus,"The fourth or digestive stomach of a ruminant, which leads from the third stomach omasum. See Ruminantia."